,TotalCharge,Area_Urban
5782,0.6239277646871713,1.423920893685607
3268,-1.070812073389099,-0.7022862045458503
7089,0.6474370785337438,-0.7022862045458503
1667,-1.0802474535076767,1.423920893685607
7473,0.24239825343847807,-0.7022862045458503
5495,0.5767756681930948,-0.7022862045458503
2397,-0.39293079312466417,-0.7022862045458503
2806,-1.2530248233908976,-0.7022862045458503
1799,-0.9504603889910901,-0.7022862045458503
2723,-0.9692177163417467,1.423920893685607
8783,1.1174674125362667,-0.7022862045458503
9401,1.1055075071991767,-0.7022862045458503
588,-1.039252662199243,1.423920893685607
6439,1.1093074694525054,-0.7022862045458503
2175,-1.0672158652493906,-0.7022862045458503
6206,0.48543301488747015,1.423920893685607
8700,1.0692649945503232,-0.7022862045458503
6275,1.3596632927587848,-0.7022862045458503
7851,1.2012482097561192,-0.7022862045458503
8382,0.5484536803665376,-0.7022862045458503
805,-1.008563807913971,-0.7022862045458503
825,-0.7743005908361437,1.423920893685607
560,-0.17464025757639043,1.423920893685607
6041,1.212780189350016,-0.7022862045458503
7720,0.4366467282294095,-0.7022862045458503
3571,-0.7249631183919348,-0.7022862045458503
4359,-0.7061076300127335,1.423920893685607
7555,1.031531392307556,-0.7022862045458503
1637,-0.9989141663389534,-0.7022862045458503
2021,-0.7576050266864518,-0.7022862045458503
4920,-1.2087994110414564,-0.7022862045458503
6706,1.0920523843671142,1.423920893685607
5295,0.7548368083060882,-0.7022862045458503
7710,1.72128026795096,-0.7022862045458503
5904,0.5458742008598728,1.423920893685607
8777,1.1706604629034376,-0.7022862045458503
4271,-0.44935623677836467,-0.7022862045458503
1259,-1.1268326598453504,-0.7022862045458503
2071,-1.190642565788715,1.423920893685607
4888,-1.2256347005141193,-0.7022862045458503
8312,0.0689461441865223,1.423920893685607
1819,-0.5391264790045767,-0.7022862045458503
3404,-0.793736896909923,-0.7022862045458503
7202,0.7613088985120889,-0.7022862045458503
5004,0.10510197091312151,-0.7022862045458503
5586,1.0980543525079773,-0.7022862045458503
4026,-0.6643213123001276,-0.7022862045458503
8528,1.6082335695288894,1.423920893685607
5907,0.966501814979414,-0.7022862045458503
8570,0.8315868727098552,1.423920893685607
7365,0.5929937328011446,1.423920893685607
3426,-1.0343576742028815,-0.7022862045458503
5847,0.7364557235427343,1.423920893685607
9536,0.3749107572912678,-0.7022862045458503
228,-0.8452237151491924,1.423920893685607
7319,0.502671129712949,1.423920893685607
2259,-0.7746848580631065,-0.7022862045458503
2551,-0.7024029924612663,-0.7022862045458503
2389,-0.7970158643867984,-0.7022862045458503
